n_blocks,insert_bps,erase_bps
245,0,1.64865e+06
245,0,3.01562e+07
247,5.15333e+07,3.01562e+07
247,5.15333e+07,6.13636e+06
247,5.15333e+07,3.25e+06
247,5.15333e+07,2.8e+07
249,1.99444e+07,2.8e+07
249,1.99444e+07,2.11667e+08
251,2.14e+08,2.11667e+08
251,2.14e+08,5.65484e+07
253,1.35e+07,5.65484e+07
253,1.35e+07,6.64828e+07
253,1.35e+07,3.0566e+06
253,1.35e+07,2.48143e+08
255,9.92593e+07,2.48143e+08
255,9.92593e+07,4.5375e+07
255,9.92593e+07,4.75676e+06
257,2.14878e+07,4.75676e+06
259,4.23889e+07,4.75676e+06
259,4.23889e+07,5.32778e+07
261,8.37143e+07,5.32778e+07
261,8.37143e+07,1.87667e+08
263,3.65556e+07,1.87667e+08
263,3.65556e+07,1.25263e+07
265,5.51875e+07,1.25263e+07
265,5.51875e+07,2.42708e+07
265,5.51875e+07,4.05833e+07
265,5.51875e+07,7.59e+07
267,1.03947e+08,7.59e+07
269,1.3575e+08,7.59e+07
271,3.3e+07,7.59e+07
271,3.3e+07,1.425e+07
271,3.3e+07,1.95278e+07
273,1.28571e+07,1.95278e+07
275,1.78364e+08,1.95278e+07
275,1.78364e+08,6.10263e+07
277,4.4425e+07,6.10263e+07
277,4.4425e+07,5.4e+07
279,1.86e+07,5.4e+07
281,6.48182e+07,5.4e+07
283,1.095e+08,5.4e+07
283,1.095e+08,1.10065e+08
285,2.03118e+08,1.10065e+08
285,2.03118e+08,8.48e+06
285,2.03118e+08,7.06053e+07
287,4.12812e+07,7.06053e+07
287,4.12812e+07,1.7e+07
287,4.12812e+07,1.604e+08
289,1.91765e+07,1.604e+08
289,1.91765e+07,2.74348e+07
289,1.91765e+07,1.14778e+08
291,2.18333e+07,1.14778e+08
293,6.82e+07,1.14778e+08
293,6.82e+07,1.62e+07
295,5.23333e+07,1.62e+07
295,5.23333e+07,7.77059e+07
297,5.385e+07,7.77059e+07
297,5.385e+07,2.50769e+07
297,5.385e+07,2.18357e+08
299,1.2176e+08,2.18357e+08
301,3.28667e+07,2.18357e+08
303,6e+06,2.18357e+08
303,6e+06,3.23333e+08
303,6e+06,2.70199e+06
305,1.04e+08,2.70199e+06
305,1.04e+08,1.01238e+08
307,1.27027e+06,1.01238e+08
309,5.39216e+06,1.01238e+08
311,2.196e+08,1.01238e+08
311,2.196e+08,3.42553e+07
313,1.94062e+07,3.42553e+07
313,1.94062e+07,1.418e+08
315,1.06889e+07,1.418e+08
317,6.825e+07,1.418e+08
317,6.825e+07,4.19333e+08
319,347826,4.19333e+08
319,347826,5.69643e+07
321,4.19302e+07,5.69643e+07
323,2.42667e+07,5.69643e+07
323,2.42667e+07,5.43e+07
325,1.52381e+07,5.43e+07
327,3.9675e+08,5.43e+07
327,3.9675e+08,2.11e+08
327,3.9675e+08,7.07143e+06
329,4.94737e+07,7.07143e+06
329,4.94737e+07,1.71053e+07
331,2.11818e+07,1.71053e+07
333,3.18571e+07,1.71053e+07
333,3.18571e+07,6.23846e+07
333,3.18571e+07,5.49e+08
335,6.43333e+06,5.49e+08
337,1.48333e+08,5.49e+08
337,1.48333e+08,6.22895e+07
339,6.78611e+07,6.22895e+07
339,6.78611e+07,1.39133e+08
341,1.07344e+08,1.39133e+08
340,1.07344e+08,8.116e+07
342,4.01071e+07,8.116e+07
344,1.41231e+08,8.116e+07
344,1.41231e+08,7.908e+07
346,3.54444e+08,7.908e+07
345,3.54444e+08,6.50769e+07
347,9.75e+06,6.50769e+07
347,9.75e+06,4.01538e+07
349,2.63e+07,4.01538e+07
351,5.20769e+07,4.01538e+07
351,5.20769e+07,6.42593e+07
353,5.57317e+07,6.42593e+07
353,5.57317e+07,1.98e+07
353,5.57317e+07,6.54054e+06
355,5.91765e+07,6.54054e+06
355,5.91765e+07,3.28e+08
357,9.25e+06,3.28e+08
357,9.25e+06,2.10741e+07
357,9.25e+06,6.00513e+07
359,1.22308e+07,6.00513e+07
361,3.51429e+07,6.00513e+07
361,3.51429e+07,6.68e+07
361,3.51429e+07,3.28182e+07
363,4.5e+07,3.28182e+07
363,4.5e+07,1.10294e+08
365,6.43659e+07,1.10294e+08
367,4.20476e+07,1.10294e+08
367,4.20476e+07,1.19333e+08
367,4.20476e+07,5.5e+06
367,4.20476e+07,886364
367,4.20476e+07,9.89286e+06
369,7.07647e+07,9.89286e+06
369,7.07647e+07,4.58e+07
371,3e+06,4.58e+07
371,3e+06,4.92e+07
373,2.16375e+08,4.92e+07
373,2.16375e+08,2.48056e+07
373,2.16375e+08,2.3619e+07
375,3.54595e+07,2.3619e+07
375,3.54595e+07,3.71053e+06
377,1.87111e+07,3.71053e+06
379,4e+06,3.71053e+06
379,4e+06,6.40938e+07
381,9.64643e+07,6.40938e+07
381,9.64643e+07,5.38485e+07
383,108696,5.38485e+07
385,1.53448e+07,5.38485e+07
387,1.516e+07,5.38485e+07
387,1.516e+07,2.29259e+07
389,3.21277e+06,2.29259e+07
391,1.88167e+08,2.29259e+07
391,1.88167e+08,5.90588e+07
393,1.26818e+07,5.90588e+07
393,1.26818e+07,1.55143e+07
395,5.04565e+07,1.55143e+07
395,5.04565e+07,2.46279e+07
395,5.04565e+07,5.25833e+07
397,2.61034e+07,5.25833e+07
397,2.61034e+07,1.14111e+08
397,2.61034e+07,2.75e+07
399,5.47333e+07,2.75e+07
399,5.47333e+07,5.28065e+07
401,1.71026e+07,5.28065e+07
403,5.14889e+07,5.28065e+07
403,5.14889e+07,6.33e+07
405,3.69302e+07,6.33e+07
405,3.69302e+07,2.055e+08
407,1.04048e+07,2.055e+08
409,1.5087e+07,2.055e+08
409,1.5087e+07,3.97097e+07
409,1.5087e+07,1.50667e+07
411,7.64286e+07,1.50667e+07
411,7.64286e+07,2.73e+08
413,5.07188e+07,2.73e+08
413,5.07188e+07,5.95263e+07
415,5.80606e+07,5.95263e+07
414,5.80606e+07,5.62105e+07
414,5.80606e+07,1.53889e+08
414,5.80606e+07,4.02632e+06
416,5.61489e+07,4.02632e+06
416,5.61489e+07,2.91176e+07
416,5.61489e+07,1.2e+07
418,1.22564e+07,1.2e+07
417,1.22564e+07,3.4275e+07
419,3.27692e+07,3.4275e+07
421,2.67027e+07,3.4275e+07
421,2.67027e+07,5.06176e+07
421,2.67027e+07,2.1e+07
423,4.07736e+07,2.1e+07
423,4.07736e+07,1.31818e+07
423,4.07736e+07,2.4575e+08
425,1.73333e+07,2.4575e+08
427,500000,2.4575e+08
429,2.66471e+07,2.4575e+08
431,1.28111e+08,2.4575e+08
431,1.28111e+08,3.89211e+07
431,1.28111e+08,7.6e+07
433,2.632e+08,7.6e+07
435,4.10417e+07,7.6e+07
435,4.10417e+07,3.314e+08
437,8.39583e+06,3.314e+08
439,2.118e+08,3.314e+08
439,2.118e+08,2.62e+08
441,2.44762e+07,2.62e+08
443,6.50303e+07,2.62e+08
443,6.50303e+07,2.60455e+07
445,2.14186e+07,2.60455e+07
445,2.14186e+07,8.93043e+07
445,2.14186e+07,4.435e+07
447,3.952e+07,4.435e+07
447,3.952e+07,6.5e+07
449,3.31698e+07,6.5e+07
451,9.64286e+06,6.5e+07
451,9.64286e+06,1.47222e+07
451,9.64286e+06,1.21765e+07
453,3.804e+07,1.21765e+07
455,4.485e+07,1.21765e+07
455,4.485e+07,1.63083e+08
455,4.485e+07,1.29792e+07
457,3.93953e+07,1.29792e+07
459,2.32826e+07,1.29792e+07
459,2.32826e+07,7.59474e+07
459,2.32826e+07,9e+06
459,2.32826e+07,4.56e+07
461,3.3e+07,4.56e+07
463,3.10455e+07,4.56e+07
463,3.10455e+07,3.59524e+06
463,3.10455e+07,2.112e+07
465,5.22059e+07,2.112e+07
465,5.22059e+07,3.82083e+07
467,4.18e+07,3.82083e+07
467,4.18e+07,1.9375e+08
467,4.18e+07,1.88333e+07
469,1.64848e+07,1.88333e+07
